Slope (w),Intercept (b),Iterations,Cost,R²
17.420737096043897,232.75582335749246,100,1118574.8159637155,-76.25868877131454
43.35356719977623,579.2404290034228,200,505071.72417826176,-33.885519356366224
67.13221881027455,896.9433828692146,300,155578.63491722464,-9.746879993501432
83.04882429933376,1109.6027321974175,400,35513.42441679689,-1.4542673343378376
91.25127949223058,1219.1944906545957,500,9295.465287499519,0.3565434647842839
94.58357058689886,1263.716726030187,600,5571.899205814806,0.6137211359640706
95.66428995915246,1278.156053477729,700,5223.85199645817,0.6377599119114725
95.9461934330225,1281.9225229908284,800,5202.2969419981455,0.6392486672031938
96.00562049399346,1282.7165189296777,900,5201.408882453781,0.6393100033203667
96.01577758355239,1282.852226261124,1000,5201.384481407802,0.6393116886413848
96.0171883133498,1282.87107480776,1100,5201.384033544472,0.6393117195742181
96.01734780020021,1282.8732056873514,1200,5201.3840280477225,0.6393117199538652
96.01736249437054,1282.8734020139298,1300,5201.384028002579,0.6393117199569835
96.01736359872282,1282.873416769014,1400,5201.3840280023305,0.639311719957
96.01736366647485,1282.8734176742385,1500,5201.3840280023305,0.6393117199570002
96.01736366986972,1282.8734177195975,1600,5201.3840280023305,0.6393117199570005
96.01736367000869,1282.873417721462,1700,5201.3840280023305,0.6393117199570001
96.01736367000998,1282.8734177214621,1800,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,1900,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,2000,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,2100,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,2200,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,2300,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,2400,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,2500,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,2600,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,2700,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,2800,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,2900,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,3000,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,3100,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,3200,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,3300,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,3400,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,3500,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,3600,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,3700,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,3800,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,3900,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,4000,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,4100,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,4200,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,4300,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,4400,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,4500,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,4600,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,4700,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,4800,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,4900,5201.3840280023305,0.6393117199570003
96.01736367000998,1282.8734177214621,5000,5201.3840280023305,0.6393117199570003
